日期,商品,数量,金额,门店
2026-07-01,美式,33,924,01-朝阳店
2026-07-02,拿铁,60,1680,01-朝阳店
2026-07-03,卡布奇诺,45,1260,01-朝阳店
2026-07-04,馥芮白,21,588,01-朝阳店
2026-07-05,拿铁,35,1330,01-朝阳店
2026-07-01,美式,13,494,02-海淀店
2026-07-02,拿铁,60,1680,02-海淀店
2026-07-03,美式,48,1344,02-海淀店
2026-07-01,拿铁,22,616,03-西城店
2026-07-02,馥芮白,16,560,03-西城店
2026-07-03,摩卡,17,476,03-西城店
2026-07-04,馥芮白,27,864,03-西城店
2026-07-05,拿铁,45,1440,03-西城店
2026-07-06,卡布奇诺,14,392,03-西城店
2026-07-01,馥芮白,21,798,04-东城店
2026-07-02,冷萃,42,1596,04-东城店
2026-07-03,卡布奇诺,37,1406,04-东城店
2026-07-01,卡布奇诺,23,736,05-丰台店
2026-07-02,冷萃,57,1824,05-丰台店
2026-07-03,拿铁,44,1540,05-丰台店
2026-07-04,馥芮白,39,1365,05-丰台店
2026-07-05,冷萃,36,1260,05-丰台店
2026-07-01,拿铁,40,1520,06-石景山店
2026-07-02,美式,56,1960,06-石景山店
2026-07-03,美式,39,1482,06-石景山店
2026-07-01,冷萃,12,420,07-通州店
2026-07-02,卡布奇诺,52,1820,07-通州店
2026-07-03,馥芮白,39,1482,07-通州店
2026-07-01,拿铁,25,950,08-昌平店
2026-07-02,冷萃,50,1400,08-昌平店
2026-07-03,拿铁,54,1890,08-昌平店
2026-07-01,卡布奇诺,53,2014,09-大兴店
2026-07-02,冷萃,30,840,09-大兴店
2026-07-03,摩卡,30,960,09-大兴店
2026-07-04,馥芮白,15,570,09-大兴店
2026-07-05,拿铁,21,735,09-大兴店
2026-07-06,美式,55,1760,09-大兴店
2026-07-01,摩卡,39,1092,10-顺义店
2026-07-02,美式,36,1368,10-顺义店
2026-07-03,馥芮白,25,800,10-顺义店
2026-07-04,摩卡,43,1505,10-顺义店
2026-07-05,冷萃,34,1190,10-顺义店
2026-07-06,冷萃,32,1024,10-顺义店
2026-07-01,拿铁,19,608,11-房山店
2026-07-02,美式,50,1600,11-房山店
2026-07-03,拿铁,39,1248,11-房山店
2026-07-04,卡布奇诺,26,728,11-房山店
2026-07-01,摩卡,42,1470,12-门头沟店
2026-07-02,馥芮白,44,1540,12-门头沟店
2026-07-03,美式,52,1456,12-门头沟店
2026-07-04,摩卡,57,2166,12-门头沟店
2026-07-01,摩卡,33,924,13-平谷店
2026-07-02,摩卡,48,1824,13-平谷店
2026-07-03,拿铁,20,560,13-平谷店
2026-07-04,美式,36,1152,13-平谷店
2026-07-05,拿铁,29,812,13-平谷店
2026-07-06,拿铁,8,256,13-平谷店
2026-07-01,卡布奇诺,47,1316,14-怀柔店
2026-07-02,拿铁,21,798,14-怀柔店
2026-07-03,美式,48,1680,14-怀柔店
2026-07-01,馥芮白,31,1178,15-密云店
2026-07-02,拿铁,15,570,15-密云店
2026-07-03,摩卡,38,1444,15-密云店
2026-07-04,卡布奇诺,13,416,15-密云店
2026-07-05,拿铁,55,1925,15-密云店
2026-07-01,摩卡,52,1664,16-延庆店
2026-07-02,馥芮白,9,288,16-延庆店
2026-07-03,馥芮白,31,992,16-延庆店
2026-07-04,冷萃,42,1176,16-延庆店
2026-07-05,馥芮白,27,756,16-延庆店
2026-07-01,馥芮白,31,992,17-亦庄店
2026-07-02,卡布奇诺,57,1824,17-亦庄店
2026-07-03,馥芮白,42,1470,17-亦庄店
2026-07-04,冷萃,22,704,17-亦庄店
2026-07-05,美式,60,2280,17-亦庄店
2026-07-01,美式,41,1558,18-望京店
2026-07-02,卡布奇诺,54,1512,18-望京店
2026-07-03,拿铁,58,2030,18-望京店
2026-07-04,摩卡,24,768,18-望京店
2026-07-01,摩卡,59,2065,19-中关村店
2026-07-02,卡布奇诺,13,416,19-中关村店
2026-07-03,拿铁,22,836,19-中关村店
2026-07-04,美式,29,928,19-中关村店
2026-07-05,摩卡,47,1316,19-中关村店
2026-07-01,冷萃,30,840,20-国贸店
2026-07-02,冷萃,15,570,20-国贸店
2026-07-03,冷萃,56,1792,20-国贸店
2026-07-04,摩卡,19,722,20-国贸店
2026-07-05,冷萃,29,812,20-国贸店
2026-07-06,冷萃,33,1254,20-国贸店
